DepthOrig;DepthCorr;DepthAdj;Al;Si;Ca;Ti;K;Zr;
200;200.18;62.111;1.780067692;1.725552013;-0.021279399;1.575493224;;;
;200.1805;62.112;1.832284967;1.61873479;-0.121846346;1.103232077;;;
200.001;200.181;62.113;1.884502243;1.511917568;-0.222413292;0.63097093;;;
200.002;200.182;62.114;0.654510172;1.379084105;0.161023851;0.81778033;;;
200.003;200.183;62.115;1.518310132;1.301507272;1.627197576;0.677236809;;;
200.005;200.185;62.116;1.851435774;1.403055718;1.290195683;0.339408595;;;
200.006;200.186;62.117;1.979585117;1.337956195;1.838285542;0.864046209;;;
;200.1865;62.118;1.286665869;0.972713329;1.602261075;0.371270946;;;
200.007;200.187;62.119;0.59374662;0.607470491;1.366236607;-0.121504318;;;
200.008;200.188;62.12;-0.175641624;0.349248044;0.197299785;-0.419177241;;;
200.009;200.189;62.121;1.51065875;1.540790968;-0.293271937;0.959196792;;;
200.011;200.191;62.122;1.015869841;0.750081325;0.245530866;0.659777987;;;
;200.1915;62.123;0.720732597;0.696974166;0.724070479;0.384365063;;;
200.012;200.192;62.124;0.425595353;0.643867007;1.202610083;0.108952138;;;
200.013;200.193;62.125;0.644263593;0.601441562;1.630943178;0.033879202;;;
200.014;200.194;62.126;0.726280966;0.638598231;0.981465415;-0.145073728;;;
200.016;200.196;62.127;0.146342544;0.720644341;-0.176234588;0.08712861;;;
200.017;200.197;62.128;1.734204184;1.290432366;1.256126066;0.726994453;;;
;200.1984;62.129;1.061263521;0.964593937;0.583199784;0.620059166;;;
200.0198;200.1998;62.13;0.388322866;0.638755508;-0.089726491;0.513123878;;;
200.019;200.199;62.131;1.239370531;1.212894851;0.029055385;1.057839139;;;
200.02;200.2;62.132;0.020340958;1.400775203;-0.666293217;1.11370737;;;
200.022;200.202;62.133;0.859396991;1.17706192;0.111407402;0.730486218;;;
;200.2025;62.134;0.426356024;1.184250767;0.092576758;0.731795629;;;
200.023;200.203;62.135;-0.00668495;1.191439641;0.073746108;0.733105041;;;
200.024;200.204;62.136;-0.27774945;-0.323713631;-0.045548868;-0.242843134;;;
200.025;200.205;62.137;0.15135397;-0.155715693;-0.498459296;-0.193958431;;;
200.027;200.207;62.138;-0.043823206;-0.433453592;0.008377592;-0.248953722;;;
200.028;200.208;62.139;-0.652174621;-0.078912128;-0.361565104;-0.406956065;;;
;200.2085;62.14;0.200416733;0.066149614;-0.208816224;-0.152057257;;;
200.029;200.209;62.141;1.053008096;0.211211328;-0.056067352;0.102841551;;;
200.03;200.21;62.142;-0.047044833;0.505699246;-0.332523834;0.142123901;;;
200.031;200.211;62.143;1.133101439;1.099314694;-0.612520689;0.775879156;;;
200.033;200.213;62.144;0.575848676;0.271474614;-0.625553339;0.344646242;;;
;200.2135;62.145;0.724737268;0.133981823;-0.101912533;0.097167433;;;
200.034;200.214;62.146;0.87362586;-0.003510967;0.421728266;-0.150311375;;;
200.035;200.215;62.147;-0.334664935;-0.439679145;-1.001858439;-0.593765465;;;
200.036;200.216;62.148;-0.587160307;-0.298025061;-0.428421601;-0.448857239;;;
