AdjDepth;Time;Ti
62.111;497083.4;1.575
62.112;497083.6;1.103
62.113;497083.7;0.631
62.114;497083.9;0.818
62.115;497084.1;0.677
62.116;497084.2;0.339
62.117;497084.4;0.864
62.118;497084.6;0.371
62.119;497084.7;-0.122
62.12;497084.9;-0.419
62.121;497085.1;0.959
62.122;497085.2;0.66
62.123;497085.4;0.384
62.124;497085.6;0.109
62.125;497085.7;0.034
62.126;497085.9;-0.145
62.127;497086.1;0.087
62.128;497086.2;0.727
62.129;497086.4;0.62
62.13;497086.6;0.513
62.131;497086.7;1.058
62.132;497086.9;1.114
62.133;497087.1;0.73
62.134;497087.2;0.732
62.135;497087.4;0.733
62.136;497087.6;-0.243
62.137;497087.7;-0.194
62.138;497087.9;-0.249
62.139;497088.1;-0.407
62.14;497088.2;-0.152
62.141;497088.4;0.103
62.142;497088.6;0.142
62.143;497088.7;0.776
62.144;497088.9;0.345
62.145;497089.1;0.097
62.146;497089.2;-0.15
62.147;497089.4;-0.594
62.148;497089.6;-0.449
62.149;497089.7;-1.116
62.15;497089.9;-0.711
62.151;497090.1;-0.94
62.152;497090.2;-1.17
62.153;497090.4;-0.306
62.154;497090.6;-0.788
62.155;497090.7;-1.38
62.156;497090.9;-1.173
62.157;497091.1;-0.967
62.158;497091.2;-1.074
62.159;497091.4;-2.033
62.16;497091.6;-1.745
62.161;497091.7;-1.752
62.162;497091.9;-1.544
62.163;497092.1;-1.337
62.164;497092.2;-1.578
62.165;497092.4;-1.063
62.166;497092.6;-1.552
62.167;497092.7;-1.036
62.168;497092.9;-0.52
62.169;497093.1;-1.039
62.17;497093.2;-0.876
62.171;497093.4;-2.104
62.172;497093.6;-1.336
62.173;497093.7;-1.603
62.174;497093.9;-1.87
62.175;497094.1;-1.851
62.176;497094.2;-1.684
62.177;497094.4;-1.633
62.178;497094.6;-1.708
62.179;497094.7;-1.783
62.18;497094.9;-2.34
62.181;497095.1;-2.343
62.182;497095.2;2.056
62.183;497095.4;1.903
62.184;497095.6;1.75
62.185;497095.7;1.211
62.186;497095.9;0.884
62.187;497096.1;1.559
62.188;497096.2;0.765
62.189;497096.4;0.761
62.19;497096.6;0.758
62.191;497096.7;0.634
62.192;497096.9;0.14
62.193;497097.1;0.76
62.194;497097.2;0.657
62.195;497097.4;0.554
62.196;497097.6;0.231
62.197;497097.7;0.387
62.198;497097.9;0.238
62.199;497098.1;0.552
62.2;497098.2;0.792
62.201;497098.4;1.033
62.202;497098.6;1.322
62.203;497098.7;-0.16
62.204;497098.9;0.545
62.205;497099.1;0.659
62.206;497099.2;0.772
62.207;497099.4;1.321
62.208;497099.6;0.785
62.209;497099.7;1.187
62.21;497099.9;0.887
62.211;497100.1;-0.438
62.212;497100.2;-1.764
62.213;497100.4;-0.556
62.214;497100.6;-0.961
62.215;497100.7;-1
62.216;497100.9;-0.503
62.217;497101.1;-0.778
62.218;497101.2;-0.231
62.219;497101.4;0.332
62.22;497101.6;0.405
62.221;497101.7;0.394
62.222;497101.9;0.384
62.223;497102.1;0.518
62.224;497102.2;1.245
62.225;497102.4;0.869
62.226;497102.6;1.305
62.227;497102.7;0.235
62.228;497102.9;0.15
62.229;497103.1;0.152
62.23;497103.2;0.388
62.231;497103.4;0.103
62.232;497103.6;0.195
62.233;497103.7;0.108
62.234;497103.9;0.022
62.235;497104.1;0.146
62.236;497104.2;0.009
62.237;497104.4;0.525
62.238;497104.6;0.577
62.239;497104.7;1.01
62.24;497104.9;0.596
62.241;497105.1;0.767
62.242;497105.2;0.303
62.243;497105.4;-0.222
62.244;497105.6;-0.268
62.245;497105.7;0.072
62.246;497105.9;0.413
62.247;497106.1;0.135
62.248;497106.2;0.798
62.249;497106.4;1.272
62.25;497106.6;1.447
62.251;497106.7;1.587
62.252;497106.9;0.877
62.253;497107.1;0.829
62.254;497107.2;0.531
62.255;497107.4;-0.439
62.256;497107.6;-0.602
62.257;497107.7;-0.764
62.258;497107.9;-0.025
62.259;497108.1;-0.619
62.26;497108.2;-0.772
62.261;497108.4;-0.925
62.262;497108.6;-1.557
62.263;497108.7;-2.917
62.264;497108.9;-2.087
62.265;497109.1;-1.282
62.266;497109.2;-1.014
62.267;497109.4;-1.644
62.268;497109.6;-1.594
62.269;497109.7;-1.544
62.27;497109.9;-1.313
62.271;497110.1;-0.281
62.272;497110.2;-0.668
62.273;497110.4;-1.47
62.274;497110.6;-1.056
62.275;497110.7;-0.741
62.276;497110.9;-0.524
62.277;497111.1;-0.4
62.278;497111.2;-0.443
62.279;497111.4;-0.787
62.28;497111.6;-1.364
62.281;497111.7;-1.942
62.282;497111.9;-2.76
62.283;497112.1;-1.242
62.284;497112.2;-1.75
62.285;497112.4;0.535
62.286;497112.6;0.84
62.287;497112.7;0.967
62.288;497112.9;1.156
62.289;497113.1;0.821
62.29;497113.2;1.567
62.291;497113.4;1.54
62.292;497113.6;1.514
62.293;497113.7;0.292
62.294;497113.9;0.043
62.295;497114.1;0.346
62.296;497114.2;1.005
62.297;497114.4;0.359
62.298;497114.6;-0.025
62.299;497114.7;0.831
62.3;497114.9;0.071
62.301;497115.1;0.269
62.302;497115.2;1.038
62.303;497115.4;1.235
62.304;497115.6;1.433
62.305;497115.7;1.051
62.306;497115.9;0.758
62.307;497116.1;1.228
62.308;497116.2;0.978
62.309;497116.4;0.266
62.31;497116.6;0.298
62.311;497116.7;-0.06
62.312;497116.9;0.254
62.313;497117.1;0.546
62.314;497117.2;1.242
62.315;497117.4;1.771
62.316;497117.6;2.301
62.317;497117.7;1.718
62.318;497117.9;1.97
62.319;497118.1;1.176
62.32;497118.2;0.682
62.321;497118.4;1.157
62.322;497118.6;0.654
62.323;497118.7;1.619
62.324;497118.9;0.763
62.325;497119.1;1.26
62.326;497119.2;1.016
62.327;497119.4;0.771
62.328;497119.6;1.57
62.329;497119.7;1.486
62.33;497119.9;0.191
62.331;497120.1;0.184
62.332;497120.2;0.687
62.333;497120.4;1.356
62.334;497120.6;0.616
62.335;497120.7;0.681
62.336;497120.9;-0.134
62.337;497121.1;-1.518
62.338;497121.2;-1.487
62.339;497121.4;-1.456
62.34;497121.6;-1.604
62.341;497121.7;0.566
62.342;497121.9;-0.38
62.343;497122.1;-0.292
62.344;497122.2;-0.497
62.345;497122.4;-0.468
62.346;497122.6;-0.484
62.347;497122.7;-0.145
62.348;497122.9;0.083
62.349;497123.1;0.411
62.35;497123.2;-0.211
62.351;497123.4;-0.833
62.352;497123.6;-0.323
62.353;497123.7;-1.007
62.354;497123.9;-0.731
62.355;497124.1;-0.756
62.356;497124.2;-0.335
62.357;497124.4;-0.116
62.358;497124.6;-0.564
62.359;497124.7;-0.271
62.36;497124.9;0.379
62.361;497125.1;-0.054
62.362;497125.2;-0.487
62.363;497125.4;-0.279
62.364;497125.6;-0.414
62.365;497125.7;-0.779
62.366;497125.9;-0.558
62.367;497126.1;-0.703
62.368;497126.2;-0.548
62.369;497126.4;-0.387
62.37;497126.6;-0.013
62.371;497126.7;0.094
62.372;497126.9;0.39
62.373;497127.1;0.059
62.374;497127.2;-0.272
62.375;497127.4;0.081
62.376;497127.6;0.707
62.377;497127.7;0.491
62.378;497127.9;-0.184
62.379;497128.1;-0.612
62.38;497128.2;
62.381;497128.4;0.703
62.382;497128.6;0.695
62.383;497128.7;1.094
62.384;497128.9;0.329
62.385;497129.1;0.599
62.386;497129.2;0.868
62.387;497129.4;0.832
62.388;497129.6;0.651
62.389;497129.7;0.699
62.39;497129.9;0.8
62.391;497130.1;0.774
62.392;497130.2;0.964
62.393;497130.4;0.481
62.394;497130.6;0.329
62.395;497130.7;0.044
62.396;497130.9;0.252
62.397;497131.1;0.459
62.398;497131.2;0.314
62.399;497131.4;0.898
62.4;497131.6;0.717
62.401;497131.7;0.425
62.402;497131.9;0.731
62.403;497132.1;0.036
62.404;497132.2;-0.267
62.405;497132.4;-0.465
62.406;497132.6;0.204
62.407;497132.7;-1.472
62.408;497132.9;-1.62
62.409;497133.1;-1.768
62.41;497133.2;-1.432
62.411;497133.4;-2.057
62.412;497133.6;-1.814
62.413;497133.7;-2.117
62.414;497133.9;-0.886
62.415;497134.1;-0.856
62.416;497134.2;1.84
62.417;497134.4;0.824
62.418;497134.6;0.036
62.419;497134.7;0.685
62.42;497134.9;0.484
62.421;497135.1;0.284
62.422;497135.2;0.497
62.423;497135.4;0.613
62.424;497135.6;1.8
62.425;497135.7;1.349
62.426;497135.9;1.329
62.427;497136.1;1.173
62.428;497136.2;1.902
62.429;497136.4;4.44
